,,,,,,,,,,,,Collateral Details,Plate Number,Financier
,,,,,,,,,,,,Honda Hr-V 1.8 Prestige At 2017,B2302KML,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Sport Exc At4X2 2012,AG1217TF,Modalku
,,,,,,,,,,,,Toyota Innova 2.4 G/Mt Diesel 2020,BB1647HC,Modalku
,,,,,,,,,,,,Toyota Etios Valco 1.2 J Mt 2013,B1501URF,Modalku
,,,,,,,,,,,,Toyota Alphard 3.0 V At 2005,A1564EM,Modalku
,,,,,,,,,,,,Honda New Crv 2.4 At 2012,BG1137MK,Modalku
,,,,,,,,,,,,Toyota Innova G M/T Bensin 2019,B2865BYZ,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G At 2016,H1983MC,Modalku
,,,,,,,,,,,,Toyota Innova V A/T Bensin 2017,B1795WOY,Modalku
,,,,,,,,,,,,Suzuki Ertiga Ga M/T 2020,B1068CYH,BSS
,,,,,,,,,,,,Honda Brv Cvt Prestige 2018,B1019ZKL,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 E Std 2018,BG1017IF,Modalku
,,,,,,,,,,,,Toyota Yaris 1.5 S Ltd At 2012,N1751HJ,Modalku
,,,,,,,,,,,,Toyota Avanza E M/T 2018,A1303JG,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Sport Gls2.5M/T 2012,BG1795TG,Modalku
,,,,,,,,,,,,Toyota Rush S Vvti 1.5 M/T 2012,B1028NIF,Modalku
,,,,,,,,,,,,Isuzu New Panther Ls 2014,W1299RL,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Bensin 2015,B2742PGY,Modalku
,,,,,,,,,,,,Toyota Vios G M/T 2008,BM1457QF,Modalku
,,,,,,,,,,,,Toyota Avanza E M/T 2013,A1004AO,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 X Mt 2023,B2722UIR,Modalku
,,,,,,,,,,,,Toyota Vellfire 2.4 Vellfire 2.4 At 2009,AB1497HS,Modalku
,,,,,,,,,,,,Toyota Agya 1.2 G At Trd 2019,B2925PKJ,Modalku
,,,,,,,,,,,,Toyota Yaris S 1.5 M/T 2010,B2576PBO,Modalku
,,,,,,,,,,,,Honda Freed E 1.5 A/T 2012,B1509VFK,Modalku
,,,,,,,,,,,,Nissan Serena X 2.0 At 2012,B2839SFW,Modalku
,,,,,,,,,,,,Chevrolet Captiva Diesel At 2013,BH1373MH,Modalku
,,,,,,,,,,,,Honda Brio 1.2 Rs Cvt 2017,H1512NP,Modalku
,,,,,,,,,,,,Nissan Serena Nissan Elgrand Gws Star 2011,B2216SBM,Modalku
,,,,,,,,,,,,Toyota Innova V A/T Bensin 2005,B1658KML,Modalku
,,,,,,,,,,,,Toyota Fortuner 4X2G At Dsl 2011,BG1179AE,Modalku
,,,,,,,,,,,,Honda Civic 1.8 L At 2012,BL1479JS,Modalku
,,,,,,,,,,,,Daihatsu Terios Tx M/T 2010,BM1679FK,Modalku
,,,,,,,,,,,,Toyota Agya 1.2 G Cvt 2023,B2437FYJ,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G At 2018,BG1367TF,Modalku
,,,,,,,,,,,,Honda New Jazz Rs 1.5 M/T 2017,BG805DY,Modalku
,,,,,,,,,,,,Mitsubishi Xpander 1.5 Ult At 2019,F1626AAC,Modalku
,,,,,,,,,,,,Toyota Agya 1.2 G At Trd 2019,BP1891DH,Modalku
,,,,,,,,,,,,Mazda Mazda 2 Gt A/T 2014,B1627NOJ,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Sport Exc 2.5 2014,A1257HN,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G Mt 2016,AB1280LH,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Sport Exc At4X2 2009,H1005SA,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 R Mt 2023,B2933UIP,Modalku
,,,,,,,,,,,,Daihatsu Xenia 1.3 Xi Mt 2010,B1772PKF,Modalku
,,,,,,,,,,,,Toyota Agya 1.2 G 2019,B1020VOJ,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Bensin 2010,BP1048DN,Modalku
,,,,,,,,,,,,Honda New Crv 2.0 A/T Dohc 2010,BG1089UP,Modalku
,,,,,,,,,,,,Toyota New Rush 1.5 G 2018,B2672UFY,Modalku
,,,,,,,,,,,,Toyota Mark X 2.5 250G At 2012,B2258STF,Modalku
,,,,,,,,,,,,Wuling Confero S 1.5 L Lux+ 2022,B2384KIJ,Modalku
,,,,,,,,,,,,Hyundai I20 1.4 Xg Sunroof At 2011,B1106WMG,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 R Dlx 2018,B2037SZR,Modalku
,,,,,,,,,,,,Daihatsu Xenia Li Family 2011,B1905SKX,Modalku
,,,,,,,,,,,,Toyota New Yaris 1.5S.L/Attrd 2014,B2534TVA,Modalku
,,,,,,,,,,,,Toyota New Avanza G 1.3 At 2011,B1182KYP,Modalku
,,,,,,,,,,,,Suzuki Apv Gx 1.5 M/T 2015,B1449NOK,Modalku
,,,,,,,,,,,,Toyota Innova G M/T Bensin 2013,A1223TU,Modalku
,,,,,,,,,,,,Suzuki Ertiga Gx M/T 2017,F1269FND,Modalku
,,,,,,,,,,,,"Honda Crv Re1 2Wd 2,4 At 2007",DK1610OR,Modalku
,,,,,,,,,,,,Honda Brio E A/T 2015,B2079PVC,Modalku
,,,,,,,,,,,,Nissan X Gear 1.5 /At 2011,BK1254ACW,Modalku
,,,,,,,,,,,,Daihatsu Grand Max 1.3 D Mt 2011,AB1152UW,Modalku
,,,,,,,,,,,,Isuzu Panther Gran Touring 2012,BG1040RG,Modalku
,,,,,,,,,,,,Toyota Innova V A/T Bensin 2012,B2659FBB,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G 2018,AA1908KT,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 R 2017,BG1677MO,Modalku
,,,,,,,,,,,,Jeep Wrangler Sh Sahara 3.6 At 2012,BP1361VO,Modalku
,,,,,,,,,,,,Toyota Avanza 1.3 G 2007,B1610JUN,Modalku
,,,,,,,,,,,,Toyota Avanza G 1.3 M/T 2011,B1243PKT,Modalku
,,,,,,,,,,,,Daihatsu Grand New Xenia 1.3 R 2018,B2663KKI,Modalku
,,,,,,,,,,,,"Daihatsu Sigra 1,2 R At 2023",B2818PZS,Modalku
,,,,,,,,,,,,Toyota Agya 1.2 G At 2019,B1971ERP,Modalku
,,,,,,,,,,,,Honda New Jazz S 1.5 A/T 2013,B1012KYO,Modalku
,,,,,,,,,,,,Toyota Grand New Avanza 1.3G Mt 2017,BM1103RT,Modalku
,,,,,,,,,,,,Toyota Vios G A/T 2020,B1887FAB,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Exceed 4X2 /At 2012,BK1304ZK,Modalku
,,,,,,,,,,,,Toyota Vellfire Audioless 2008,AD1126MY,Modalku
,,,,,,,,,,,,Nissan Livina Xgear 1.5 A/T 2010,B1020ZVL,Modalku
,,,,,,,,,,,,Honda Mobilio Rs Cvt 2015,B2425JUE,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Bensin 2013,B2029VVC,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 R 2017,BG1256NQ,Modalku
,,,,,,,,,,,,Honda Mobilio E-Cvt 2020,B2340BRG,Modalku
,,,,,,,,,,,,Toyota New Avanza E 1.3 Mt 2022,BM1319AI,Modalku
,,,,,,,,,,,,"Honda Crv Re12Wd 2,0 Mtckd 2012",BM1664NX,Modalku
,,,,,,,,,,,,Daihatsu Grand New Xenia 1.3 R Dlx 2018,W1140VI,Modalku
,,,,,,,,,,,,Honda Mobilio Rs Cvt 2017,B2074BZM,Modalku
,,,,,,,,,,,,Dfsk 580 580 2018,B1317JUZ,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G At 2015,BM1519LAB,Modalku
,,,,,,,,,,,,Toyota Camry 2.5 V 2015,B1716SAL,Modalku
,,,,,,,,,,,,"Honda Crv Re1 2Wd 2,4 At 2011",BK1421NC,Modalku
,,,,,,,,,,,,Daihatsu Ayla D + Mt 2015,BG1603IY,Modalku
,,,,,,,,,,,,Daihatsu Terios Ts At Mc 2013,B1054FKU,Modalku
,,,,,,,,,,,,Toyota Harrier 2.4 L A/T 2011,BM1162PO,Modalku
,,,,,,,,,,,,Honda Accord Vti L 2.4 A/T 2015,B1100NBH,Modalku
,,,,,,,,,,,,Daihatsu Ayla M At 2016,B1659FRU,Modalku
,,,,,,,,,,,,Toyota Sienta 1.5 V 2017,BK1277DQ,Modalku
,,,,,,,,,,,,Honda Hr-V 1.5 E Cvt 2017,B2357SZF,Modalku
,,,,,,,,,,,,Honda Hr-V 1.8 Prestige At 2015,B2625TFA,Modalku
,,,,,,,,,,,,Toyota Yaris 1.5 S Ltd A/T 2011,W1552XW,Modalku
,,,,,,,,,,,,Daihatsu Terios Ts Extra 2007 2007,F1837DZ,Modalku
,,,,,,,,,,,,Daihatsu Grand New Xenia 1.3 R 2017,L1181ABT,Modalku
,,,,,,,,,,,,Toyota Avanza Veloz 1.5 At 2012,BP1786EO,Modalku
,,,,,,,,,,,,Honda Freed E 1.5 A/T 2014,B1436BIS,Modalku
,,,,,,,,,,,,Toyota Corolla Altis 2005,B1299ZES,Modalku
,,,,,,,,,,,,Toyota Innova E M/T Bensin 2014,BG1830LU,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Bensin 2014,F1877BI,Modalku
,,,,,,,,,,,,Honda Freed S A/T 2011,B2231KMN,Modalku
,,,,,,,,,,,,Honda Crv 1.5 Prestige Trb 2019,B1241UJU,Modalku
,,,,,,,,,,,,Mazda Cx 5 Grand Touring 2013,B1839SMD,Modalku
,,,,,,,,,,,,Mitsubishi Xpander 1.5 Exc 2021,B2628UZG,Modalku
,,,,,,,,,,,,Toyota Vios G A/T 2008,A1626OM,Modalku
,,,,,,,,,,,,Honda City Gds 1.5 Idsi Mt 2005,B1873CBE,Modalku
,,,,,,,,,,,,Honda Brio Satya 1.2 E Cvt 2018,W1502CY,Modalku
,,,,,,,,,,,,Bmw 320 I At 2013,B1299SES,Modalku
,,,,,,,,,,,,Honda Mobilio Rs Cvt 2017,B2313BZN,Modalku
,,,,,,,,,,,,Toyota Rush S Vvti 1.5 A/T 2015,BP1256HI,Modalku
,,,,,,,,,,,,"Toyota New Camry V 2,5 A/T 2015",AD800AN,Modalku
,,,,,,,,,,,,Honda Brv 1.5 E Cvt Ckd 2016,BP1935IE,Modalku
,,,,,,,,,,,,Toyota New Avanza G 1.3 At 2012,A1445WP,Modalku
,,,,,,,,,,,,Honda Crv 2.0 Mt 2012,BK1804MAF,Modalku
,,,,,,,,,,,,Nissan Xtrail Xt 2.5 A/T 2015,BP1860G,Modalku
,,,,,,,,,,,,Toyota New Yaris 1.5S.L/Attrd 2016,BP1910CF,Modalku
,,,,,,,,,,,,Honda Brio Satya E M/T 2020,BG1353BP,Modalku
,,,,,,,,,,,,Honda All New Crv Prestge At 2019,A1896JN,Modalku
,,,,,,,,,,,,Suzuki Ertiga Gx A/T 2017,F1357PV,Modalku
,,,,,,,,,,,,Suzuki Ertiga Gx M/T 2016,BK1459YU,Modalku
,,,,,,,,,,,,Nissan March 1.2L At 2015,BK1274UK,Modalku
,,,,,,,,,,,,Daihatsu Terios Tx M/T 2015,BG1216IA,Modalku
,,,,,,,,,,,,Subaru Subaru Forester 2.0 X Awd 2011 2011,BP1394VK,Modalku
,,,,,,,,,,,,Honda Mobilio Rs Cvt 2016,B2782KYE,BSS
,,,,,,,,,,,,Daihatsu Ayla M Mt Sporty 2015,A1031AT,Modalku
,,,,,,,,,,,,Mazda Mazda Mazda 6 2.5L At 2011,B1617SEQ,Modalku
,,,,,,,,,,,,Honda Jazz Ge8 1.5S Mt 2009,AD1237NS,Modalku
,,,,,,,,,,,,Honda New Jazz Rs 1.5 M/T 2016,AD1990YY,Modalku
,,,,,,,,,,,,Toyota Innova G M/T Bensin 2010,A1688OM,Modalku
,,,,,,,,,,,,Honda Brio Satya E M/T 2018,L1006IC,Modalku
,,,,,,,,,,,,Toyota Fortuner 2.4 Vrz 4X2 Trd At 2018,S1776YD,Modalku
,,,,,,,,,,,,Daihatsu Grand New Xenia 1.3 R 2019,G1247GH,Modalku
,,,,,,,,,,,,Nissan Grand Livina 1.5M/T Xv 2010,BG1579NN,Modalku
,,,,,,,,,,,,Honda New Freed Psd A/T 2013,B1423SYS,BSS
,,,,,,,,,,,,Suzuki Sx4 M/T 2012,A1240TV,Modalku
,,,,,,,,,,,,Nissan March 1.2L At 2015,N1420AAF,Modalku
,,,,,,,,,,,,Toyota Avanza Veloz 1.3 At 2015,B2909UBL,BSS
,,,,,,,,,,,,Daihatsu New Xenia 1.3 X Mt 2015,B1487CKT,Modalku
,,,,,,,,,,,,Daihatsu Gran Max 1.5M/T D Std 2017,B2657FMH,BSS
,,,,,,,,,,,,Toyota Grand New Avanza 1.5G Mt 2022,F1707FAJ,BSS
,,,,,,,,,,,,Toyota Agya 1.2 G At 2017,B2305UFP,Modalku
,,,,,,,,,,,,Daihatsu Ayla D Mt 2020,B2446UOP,Modalku
,,,,,,,,,,,,Toyota Grand New Avanza 1.3G Mt 2021,B2846TRQ,Modalku
,,,,,,,,,,,,Daihatsu Grand New Xenia 1.3 R 2019,S1686BG,Modalku
,,,,,,,,,,,,Toyota Avanza 1.3 G 2005,B1131JUL,Modalku
,,,,,,,,,,,,Honda Mobilio E-Cvt 2018,B2241TYB,Modalku
,,,,,,,,,,,,Honda Jazz Ge8 1.5 E At 2013,B2860FBH,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Bensin 2018,D1156AHE,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G At Trd 2016,BP1032IF,Modalku
,,,,,,,,,,,,Daihatsu New Xenia 1.0 M Mt 2014,BG1253LAC,Modalku
,,,,,,,,,,,,Toyota Agya 1.2 G Trd 2018,BK1501HS,Modalku
,,,,,,,,,,,,Toyota All New Avanza 1.5 G Cvt 2022,B1009DKQ,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Diesel 2013,L1436CAF,Modalku
,,,,,,,,,,,,Datsun Datsun Go Type T Active 2016,R1060GR,BSS
,,,,,,,,,,,,Mercedes C 250 Amg 2012,B1017WAB,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G Mt 2015,BG1639OK,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G 2016,BG1339ZU,Modalku
,,,,,,,,,,,,Toyota Avanza G A/T 2011,BP1467OI,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 R 2016,B2014TKO,Modalku
,,,,,,,,,,,,Suzuki Karimun 1.0 Mt 2010,G1192SC,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.0 D 2021,S1533LN,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Diesel 2012,BG1019PF,Modalku
,,,,,,,,,,,,Datsun Go + Panca 2014,F1014EN,Modalku
,,,,,,,,,,,,Kia Rio Se 1.4 At 2011,B1839BOG,Modalku
,,,,,,,,,,,,Nissan Grand Livina 1.5 A/Tsv 2012,B1398EKF,Modalku
,,,,,,,,,,,,Suzuki Splash Gl Mt 2010,B1743BKU,Modalku
,,,,,,,,,,,,Nissan Grand Livina Hws1.5A/T 2016,B2263PBQ,Modalku
,,,,,,,,,,,,Honda Mobilio E-Cvt 2018,B1066FIQ,Modalku
,,,,,,,,,,,,Daihatsu Grand New Xenia 1.3 X 2021,BK1542VA,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G 2018,H1763ZE,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Bensin 2017,B1458WOZ,Modalku
,,,,,,,,,,,,Toyota New Avanza Veloz 1.5 2013,BP1080AF,Modalku
,,,,,,,,,,,,Toyota New Rush 1.5S At Trd 2018,B1183FIS,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 R Dlx 2021,B2585POG,Modalku
,,,,,,,,,,,,Nissan Grand Livina 1.5 A/Tsv 2012,B2628FBB,Modalku
,,,,,,,,,,,,Honda Brio 1.2 Rs Cvt 2018,A1029BG,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Diesel 2021,L1565SX,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Sport Dkr2.4Lme 2017,F1879FBA,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 X 2021,L1610WE,Modalku
,,,,,,,,,,,,Nissan Xtrail St 2.5 A/T 2010,B1105WI,Modalku
,,,,,,,,,,,,Nissan New Xtrail 2.0 Cvt 2016,BM1151UD,Modalku
,,,,,,,,,,,,Toyota Rush S Vvti 1.5 A/T 2014,B1522WUM,Modalku
,,,,,,,,,,,,Honda City 1.5L Idsi At 2003,N1612ACJ,Modalku
,,,,,,,,,,,,Honda City E S Cvt At 2012,B1574VBC,Modalku
,,,,,,,,,,,,Nissan X-Trail 2.0 At Cvt 2013,B1912FYL,Modalku
,,,,,,,,,,,,Nissan Grand Livina 1.5M/T Xv 2013,G1215MN,Modalku
,,,,,,,,,,,,Wuling Confero S 1.5 L Lux 2021,B2619SRZ,BSS
,,,,,,,,,,,,Nissan Grand Livina 1.5A/T Xv 2013,B1263WKA,BSS
,,,,,,,,,,,,Toyota Etios Valco G 1.2 Mt 2013,F1487FNF,Modalku
,,,,,,,,,,,,Mercedec Merc Benz S 500 At 2007,B1122OI,Modalku
,,,,,,,,,,,,Honda New Jazz Rs 1.5 A/T 2011,BG1434UJ,Modalku
,,,,,,,,,,,,Mazda Mazda 2 Gt A/T 2015,B1861CYM,Modalku
,,,,,,,,,,,,Honda Jazz Rs At 2015,B111YKO,Modalku
,,,,,,,,,,,,Bmw X1 Sdrive 20D At 2011,N1456KW,Modalku
,,,,,,,,,,,,Honda Brio Satya 1.2 E Cvt 2019,A1088YQ,Modalku
,,,,,,,,,,,,Mazda Mazda 2 R Sedan At 2010,B1505KAA,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Exceed 4X2/At Diesel 2010,BK1391ZE,Modalku
,,,,,,,,,,,,Toyota New Avanza G 1.3 Mt 2014,BK1340IC,Modalku
,,,,,,,,,,,,Toyota Innova Zenix 2.0 Q Cvt At Zenix Q 2.0 At 2023,B1536ZKY,Modalku
,,,,,,,,,,,,Toyota Rush 1.5 S At 2023,B2516KIN,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 X 2022,L1609ACC,Modalku
,,,,,,,,,,,,Toyota Yaris 1.5 E A/T 2006,N1278KN,Modalku
,,,,,,,,,,,,Suzuki Swift 1.5 Gl Cbu At Gl Cbu 2006,AG1766Z,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Dakar 4X2 At 2017,AD7545CS,Modalku
,,,,,,,,,,,,Mazda Mazda 2 1.5 Hb V Mt 2013,F1280MQ,Modalku
,,,,,,,,,,,,Toyota Agya 1.2 G Mt 2023,BK1443VOC,Modalku
,,,,,,,,,,,,Mazda Mazda Vx 1 4X2 R Mt 2013,BA1697QA,Modalku
,,,,,,,,,,,,Honda Freed E 1.5 A/T 2013,AB1156IX,Modalku
,,,,,,,,,,,,Toyota New Rush 1.5 S Mt Trd 2019,DK1347JU,Modalku
,,,,,,,,,,,,Toyota New Yaris 1.5S.L/Attrd 2014,B2147KMV,BSS
,,,,,,,,,,,,Toyota New Avanza G 1.3 Mt 2017,BG1391UY,Modalku
,,,,,,,,,,,,Daihatsu New Xenia 1.3R Mt Dlx 2014,N1154EO,Modalku
,,,,,,,,,,,,Honda Freed E 1.5 A/T 2012,B1660JUF,Modalku
,,,,,,,,,,,,Suzuki Apv Arena Gl 1.5 Mt 2014,B1759CMS,Modalku
,,,,,,,,,,,,Honda Brio E A/T 2020,BK1204ABQ,Modalku
,,,,,,,,,,,,Honda New Crv 2.4 A/T Dohc 2008,L1748BAV,Modalku
,,,,,,,,,,,,Isuzu Panther Gran Touring 2014,F1040TZ,Modalku
,,,,,,,,,,,,Toyota Avanza 1.5 S /Mt 2008,BK1782JJ,Modalku
,,,,,,,,,,,,Toyota Camry V 2.4 A/T 2015,B1618UAF,Modalku
,,,,,,,,,,,,Suzuki Ertiga Gx A/T 2014,B1236KZX,Modalku
,,,,,,,,,,,,Isuzu Panther Gran Touring 2008,L1492WF,Modalku
,,,,,,,,,,,,Nissan Livina Xgear 1.5 A/T 2013,B1741FOB,Modalku
,,,,,,,,,,,,Honda Freed E 1.5 A/T 2010,B1602VFE,Modalku
,,,,,,,,,,,,Honda Brio 1.2 Rs Cvt 2019,BP1374EF,Modalku
,,,,,,,,,,,,Mazda Mazda 2 S M/T 2010,A1375CV,Modalku
,,,,,,,,,,,,Toyota New Avanza 1.5 G M/T 2022,BK1083ADJ,Modalku
,,,,,,,,,,,,"Honda Crv Re12Wd 2,0 Mtckd 2012",BM1468LY,Modalku
,,,,,,,,,,,,Toyota Rush S Vvti 1.5 M/T 2017,BM1196SE,Modalku
,,,,,,,,,,,,Toyota New Avanza 1.5 G M/T 2022,BK1317AEA,Modalku
,,,,,,,,,,,,Toyota Avanza Veloz 1.3 At 2015,N1372TO,Modalku
,,,,,,,,,,,,Nissan New Xtrail 2.5 Cvt 2015,S1960ST,Modalku
,,,,,,,,,,,,Honda Honda Cr-V At 2.0Cc 2002,BP1413ZO,Modalku
,,,,,,,,,,,,Honda Hr-V 1.5 E Cvt 2015,G1894DK,Modalku
,,,,,,,,,,,,Daihatsu All New Xenia 1.3 X 2022,B2801UIG,Modalku
,,,,,,,,,,,,Honda New Jazz Rs 1.5 A/T 2015,B2886FVA,Modalku
,,,,,,,,,,,,Honda Mobilio E M/T 2014,AA1102LN,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G At 2017,B1318COL,Modalku
,,,,,,,,,,,,Datsun Go + Panca 2016,B1316KIP,Modalku
,,,,,,,,,,,,Toyota Mark X 2.5 At 2012,B1267SDY,Modalku
,,,,,,,,,,,,Honda All New Crv Prestge At 2017,H1405YP,Modalku
,,,,,,,,,,,,Nissan Grand Livina 1.5 A/Tsv 2013,AD1266VJ,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G At 2021,F1438AAK,Modalku
,,,,,,,,,,,,Toyota Sienta 1.5 Q Cvt 2017,B2084UFC,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Bensin 2010,BP1251AF,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Dakar 4X2 At 2021,B2198IF,Modalku
,,,,,,,,,,,,Toyota Agya 1.2 G At 2018,B2988JV,Modalku
,,,,,,,,,,,,Yoyota Fortuner G 2.7 At 2007,B1211BLR,Modalku
,,,,,,,,,,,,Toyota Fortuner 2.4 Vrz 4X2 At 2019,R1290W,BSS
,,,,,,,,,,,,Honda Brv S Mt Ckd 2017,F1809MY,Modalku
,,,,,,,,,,,,Toyota Avanza 1.3 G 2006,B1301TMH,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Dakar 4X2 At 2018,W1557TK,Modalku
,,,,,,,,,,,,Suzuki Ertiga Gx M/T 2012,BK1540KS,Modalku
,,,,,,,,,,,,Toyota Innova 2.5 G/At Diesel 2012,BK1502WAH,Modalku
,,,,,,,,,,,,Toyota Camry V 2.4 A/T 2009,B1625Q,Modalku
,,,,,,,,,,,,Honda Accord Vti L 2.4 A/T 2008,L1674ACX,Modalku
,,,,,,,,,,,,Daihatsu New Xenia 1.3 R At 2012,H1413CQ,Modalku
,,,,,,,,,,,,Honda Br-V E Cvt 2023,A1662JT,BSS
,,,,,,,,,,,,Mitsubishi Pajero Dakar 4X2 At 2015,BA1354LA,Modalku
,,,,,,,,,,,,Nissan Xtrail St 2.5 A/T 2012,BG1619AI,Modalku
,,,,,,,,,,,,Toyota Innova 2.4 V At Dsl 2019,BK1070AAZ,Modalku
,,,,,,,,,,,,Honda Brio Satya E M/T 2017,AD1613KS,Modalku
,,,,,,,,,,,,Daihatsu Ayla D + Mt 2020,B1580WZV,Modalku
,,,,,,,,,,,,Nissan Evalia 1.5 Xv At 2013,N1947EZ,Modalku
,,,,,,,,,,,,Nissan Xtrail St 2.5 A/T 2012,B1532NIG,Modalku
,,,,,,,,,,,,Honda Mobilio Rs 2018,BP1150AM,Modalku
,,,,,,,,,,,,Honda Brio Satya E 1.2 Cvt 2023,B2557UYB,Modalku
,,,,,,,,,,,,Toyota Grand New Veloz 1.3Mt 2015,B1505EYO,Modalku
,,,,,,,,,,,,Kia Rio Se 1.4 At 2013,B1860BRX,Modalku
,,,,,,,,,,,,Toyota Kijang Innova Innova 2.4 Tipe G A/T 2023,AB1073GM,Modalku
,,,,,,,,,,,,Wuling Cortez 1.8 L Lux+Amt 2020,BG1287DW,Modalku
,,,,,,,,,,,,Honda Civic 1.8 L At 2008,B1811RD,Modalku
,,,,,,,,,,,,Honda Jazz Idsi Mt 2004,AB1135YS,Modalku
,,,,,,,,,,,,Nissan New Livina 1.5 Vl At 2019,B2126SIO,Modalku
,,,,,,,,,,,,Honda Civic 1.8 L At 2010,B1584KBI,Modalku
,,,,,,,,,,,,Daihatsu Gran Max Pick Up 2022,B9037FAZ,Modalku
,,,,,,,,,,,,Honda New Crv 2.4 At 2013,B1138FCS,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G At 2015,G1327JH,Modalku
,,,,,,,,,,,,Nissan Grand Livina 1.5A/T Xv 2012,B2790TME,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G At 2017,BG1759UO,Modalku
,,,,,,,,,,,,Toyota Vios G A/T 2009,B1479KBI,Modalku
,,,,,,,,,,,,Toyota Innova V A/T Bensin 2014,B1157FOE,Modalku
,,,,,,,,,,,,Toyota Avanza G M/T 2009,B8718VU,Modalku
,,,,,,,,,,,,Honda Jazz Rs At 2011,H1897CN,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G Mt 2014,B1112TYP,Modalku
,,,,,,,,,,,,Nissan Evalia Xv 1.5 At 2014,F1367FBC,Modalku
,,,,,,,,,,,,Honda Brio E A/T 2013,A1545NM,Modalku
,,,,,,,,,,,,Nissan X-Trail 2.0 At Cvt 2010,G1567CL,Modalku
,,,,,,,,,,,,Toyota New Avanza G 1.3 Mt 2017,BG1190RJ,Modalku
,,,,,,,,,,,,Toyota Fortuner 2.4 Vrz 4X2 At 2020,B2956SJC,BSS
,,,,,,,,,,,,Daihatsu Sirion 1.3 M/T 2013,AD1279GO,Modalku
,,,,,,,,,,,,Nissan March 1.2L Mt 2011,BG1913ZQ,Modalku
,,,,,,,,,,,,Honda Brio Satya 1.2 E Cvt 2018,B2623KKS,Modalku
,,,,,,,,,,,,Suzuki Ertiga Gx M/T 2012,N1682FB,Modalku
,,,,,,,,,,,,Toyota Avanza E M/T 2018,BK1692TAI,Modalku
,,,,,,,,,,,,Toyota Raize 1.0T G Cvt Two Tone 2021,B2612TRQ,Modalku
,,,,,,,,,,,,"Honda Crv Re1 2Wd 2,4 At 2011",BP1150JF,Modalku
,,,,,,,,,,,,Honda Jazz Rs/Mt 2011,BK1624RJ,Modalku
,,,,,,,,,,,,Toyota Avanza G 1.3 M/T 2011,AB1017BU,Modalku
,,,,,,,,,,,,Toyota Avanza G M/T 2011,L1806VB,Modalku
,,,,,,,,,,,,Honda New Crv 2.4 At 2014,BM1927MG,Modalku
,,,,,,,,,,,,Toyota Vios G A/T 2012,BM1625IB,Modalku
,,,,,,,,,,,,Ford Everest 4X4 /Mt Diesel 2012,BK1762YC,Modalku
,,,,,,,,,,,,Toyota New Rush 1.5 G At 2021,B1189MZM,Modalku
,,,,,,,,,,,,Toyota Yaris 1.5 S Ltd At 2011,L1087P,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.0 M 2021,BG1945RD,Modalku
,,,,,,,,,,,,Lexus Es300H 2015,B2695SMH,Modalku
